latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-18.6425,14.8063,321.4,2.6,1.5,2015-05-22,0849,Terra,MODIS,38,6.03,300.3,47,D,0
-18.6697,14.8752,335.9,2.5,1.5,2015-05-22,0849,Terra,MODIS,79,6.03,302.1,104,D,0
-18.6789,14.8486,329.4,2.5,1.5,2015-05-22,0849,Terra,MODIS,21,6.03,300.4,72,D,0
-18.6888,14.8644,324.5,2.5,1.5,2015-05-22,0849,Terra,MODIS,54,6.03,300.2,56.8,D,0
-18.7958,15.1314,315.2,2.4,1.5,2015-05-22,0849,Terra,MODIS,46,6.03,302.3,23.9,D,0
-18.7965,15.1294,324.1,2.2,1.4,2015-05-22,1313,Aqua,MODIS,45,6.03,311.5,29.3,D,0
-18.8004,15.1086,328,2.2,1.4,2015-05-22,1313,Aqua,MODIS,75,6.03,311.6,44.2,D,0
-18.8042,15.0879,325.9,2.2,1.4,2015-05-22,1313,Aqua,MODIS,68,6.03,310.6,35.6,D,0
-18.7962,14.9093,323.6,2.1,1.4,2015-05-22,1313,Aqua,MODIS,60,6.03,311,29.1,D,0
-18.7835,14.7626,327.5,2.1,1.4,2015-05-22,1313,Aqua,MODIS,50,6.03,305.4,44,D,0
-18.7745,14.7405,325.6,2.1,1.4,2015-05-22,1313,Aqua,MODIS,60,6.03,305.2,40,D,0
-18.7584,14.7576,344.1,2.1,1.4,2015-05-22,1313,Aqua,MODIS,91,6.03,310,111,D,0
-18.762,14.738,345.7,2.1,1.4,2015-05-22,1313,Aqua,MODIS,92,6.03,308.1,122.4,D,0
-18.7422,14.7747,333.8,2.1,1.4,2015-05-22,1313,Aqua,MODIS,27,6.03,309.1,50.6,D,0
-18.7486,14.8118,325.6,2.1,1.4,2015-05-22,1313,Aqua,MODIS,22,6.03,310.3,28.4,D,0
-18.759,14.7526,352.7,2.1,1.4,2015-05-22,1313,Aqua,MODIS,96,6.03,310.2,154.6,D,0
-18.743,14.7697,335.8,2.1,1.4,2015-05-22,1313,Aqua,MODIS,50,6.03,309.3,59.2,D,0
-18.7179,14.7646,333.4,2.1,1.4,2015-05-22,1313,Aqua,MODIS,55,6.03,307.7,50.1,D,0
-18.6927,14.7596,342.2,2.1,1.4,2015-05-22,1313,Aqua,MODIS,82,6.03,310.6,90,D,0
-18.6963,14.74,348.7,2.1,1.4,2015-05-22,1313,Aqua,MODIS,91,6.03,310.3,129.9,D,0
-18.6693,14.8165,350.6,2.1,1.4,2015-05-22,1313,Aqua,MODIS,95,6.03,313.9,138.9,D,0
-18.673,14.7966,335.2,2.1,1.4,2015-05-22,1313,Aqua,MODIS,66,6.03,313.8,55.1,D,0
-18.6802,14.7571,383.8,2.1,1.4,2015-05-22,1313,Aqua,MODIS,100,6.03,315.3,457.2,D,0
-18.6654,14.829,328.8,2.1,1.4,2015-05-22,1313,Aqua,MODIS,76,6.03,313,32.3,D,0
-18.6689,14.809,345.8,2.1,1.4,2015-05-22,1313,Aqua,MODIS,92,6.03,314.3,110.2,D,0
-18.6759,14.7693,349.7,2.1,1.4,2015-05-22,1313,Aqua,MODIS,94,6.03,314.2,135.2,D,0
-18.6793,14.7496,359.7,2.1,1.4,2015-05-22,1313,Aqua,MODIS,99,6.03,313.5,208.1,D,0
-18.6825,14.673,310.9,1.6,1.2,2015-05-23,0007,Aqua,MODIS,81,6.03,285.6,24.6,N,0
-18.6459,14.7257,317.9,1.6,1.2,2015-05-23,0007,Aqua,MODIS,96,6.03,286.7,34.8,N,0
-18.6544,14.7089,305.8,1.6,1.2,2015-05-23,0007,Aqua,MODIS,32,6.03,284.4,16.9,N,0
-18.7697,15.0937,332.6,1.3,1.1,2015-05-23,0932,Terra,MODIS,80,6.03,305.7,31.3,D,0
-18.7798,15.0923,330.2,1.3,1.1,2015-05-23,0932,Terra,MODIS,71,6.03,307.2,25.8,D,0
-18.797,15.0649,320.9,1.3,1.1,2015-05-23,0932,Terra,MODIS,27,6.03,305.2,11.9,D,0
-18.6611,14.6548,322.6,1.2,1.1,2015-05-23,0932,Terra,MODIS,64,6.03,305.4,13.6,D,0
-18.8021,14.8737,327.9,1.3,1.1,2015-05-23,0932,Terra,MODIS,79,6.03,305.6,25.3,D,0
-18.8006,14.8618,319.1,1.3,1.1,2015-05-23,0932,Terra,MODIS,65,6.03,303.6,12.3,D,0
-18.6627,14.6599,324.5,1.2,1.1,2015-05-23,0932,Terra,MODIS,62,6.03,304.9,14.2,D,0
-18.7091,14.6298,323.3,1.2,1.1,2015-05-23,0932,Terra,MODIS,73,6.03,307.5,12.3,D,0
-18.8138,15.0404,323.5,2.4,1.5,2015-05-23,1218,Aqua,MODIS,41,6.03,308.7,30.6,D,0
-18.8058,15.0345,322.2,2.4,1.5,2015-05-23,1218,Aqua,MODIS,53,6.03,308.6,28.7,D,0
-18.7718,15.0984,322.6,2.3,1.5,2015-05-23,1218,Aqua,MODIS,25,6.03,308.9,27.5,D,0
-18.7577,15.1072,314.3,1,1,2015-05-23,2143,Terra,MODIS,89,6.03,285.9,15.8,N,0
-18.7336,15.3554,334.8,1.4,1.2,2015-05-24,1301,Aqua,MODIS,83,6.03,311.6,38,D,0
-18.7366,15.3627,325.4,1.4,1.2,2015-05-24,1301,Aqua,MODIS,71,6.03,309.1,19,D,0
-18.7387,15.3495,325.2,1.4,1.2,2015-05-24,1301,Aqua,MODIS,70,6.03,310.2,18.7,D,0
-18.6881,15.3947,320.5,1.4,1.2,2015-05-24,1301,Aqua,MODIS,28,6.03,309.7,9.8,D,0
-18.7099,15.3851,322.6,1,1,2015-05-25,0920,Terra,MODIS,71,6.03,306.8,10.7,D,0
-18.7113,15.3946,319.4,1,1,2015-05-25,0920,Terra,MODIS,57,6.03,305.9,7.7,D,0
-18.7165,15.3684,352.6,1,1,2015-05-25,0920,Terra,MODIS,96,6.03,307,58.7,D,0
-18.7178,15.3779,393.2,1,1,2015-05-25,0920,Terra,MODIS,100,6.03,315.6,207.6,D,0
-18.7192,15.3874,357.1,1,1,2015-05-25,0920,Terra,MODIS,98,6.03,308.7,69.8,D,0
-18.7206,15.3969,337.5,1,1,2015-05-25,0920,Terra,MODIS,87,6.03,306,30.7,D,0
-18.7587,15.4105,334.3,1,1,2015-05-26,1249,Aqua,MODIS,64,6.03,312.6,21.3,D,0
-18.7236,15.4236,318.4,3.1,1.7,2015-05-29,1320,Aqua,MODIS,49,6.03,306.2,29.7,D,0
-18.7188,15.445,319.3,3.1,1.7,2015-05-29,1320,Aqua,MODIS,54,6.03,306.3,34.4,D,0
-18.7326,15.451,324.5,1.7,1.3,2015-05-30,1225,Aqua,MODIS,68,6.03,310.7,21.4,D,0
-18.8347,14.7414,327.2,3.5,1.8,2015-08-23,0957,Terra,MODIS,53,6.03,299.7,88.7,D,0
-18.8379,14.7744,322.3,3.5,1.8,2015-08-23,0957,Terra,MODIS,40,6.03,290.1,58.1,D,0
-18.8696,14.7712,353.4,3.5,1.8,2015-08-23,0957,Terra,MODIS,96,6.03,303.8,350.3,D,0
-18.8729,14.8044,335.3,3.5,1.8,2015-08-23,0957,Terra,MODIS,46,6.03,304.9,142.7,D,0
-18.8854,14.7695,345.7,3.5,1.8,2015-08-23,0957,Terra,MODIS,92,6.03,303.1,250.5,D,0
-18.8888,14.8028,338.7,3.5,1.8,2015-08-23,0957,Terra,MODIS,86,6.03,307.4,177.6,D,0
-18.8629,14.7652,337,3.5,1.8,2015-08-23,0957,Terra,MODIS,86,6.03,303.2,166,D,0
-18.8788,14.7635,342.6,3.5,1.8,2015-08-23,0957,Terra,MODIS,91,6.03,301.7,223,D,0
-18.8819,14.7967,350.9,3.5,1.8,2015-08-23,0957,Terra,MODIS,95,6.03,306.3,325.7,D,0
-18.8947,14.7618,327.3,3.5,1.8,2015-08-23,0957,Terra,MODIS,32,6.03,301.9,83.7,D,0
-18.8978,14.7951,335.7,3.5,1.8,2015-08-23,0957,Terra,MODIS,80,6.03,306.7,152.6,D,0
