row,col,lat,lon,fire_count,ndvi,r_f,r_p,risk,lambda_drones,lambda_rangers,lambda_sensors,c_drones,c_rangers,c_sensors,coverage,protection,protection_uniform,in_pan
0,34,-19.4775,16.0936,0,1.0,0.465717,0.250297,0.34142,0.7565,0.5381,0.3718,0.0,0.0,0.3,0.111546,0.278709,0.261103,False
0,35,-19.4775,16.1412,0,1.0,0.461412,0.213977,0.314216,0.7808,0.5133,0.3561,0.0,0.4,0.0,0.205328,0.479758,0.271369,False
0,36,-19.4775,16.1889,0,1.0,0.457152,0.172702,0.280982,0.8112,0.4796,0.3345,0.0,0.4,0.0,0.191846,0.494784,0.284859,False
0,37,-19.4775,16.2365,0,1.0,0.452938,0.13191,0.244432,0.8436,0.4393,0.3087,0.0,0.4,0.0,0.175729,0.512726,0.301896,False
0,38,-19.4775,16.2842,0,1.0,0.431209,0.095783,0.20323,0.8705,0.4017,0.2845,0.0,0.4,0.0,0.160671,0.546422,0.331519,False
0,39,-19.4775,16.3318,0,1.0,0.40538,0.07155,0.170309,0.8884,0.3738,0.2665,0.0,0.4,0.0,0.149506,0.584327,0.365119,False
0,40,-19.4775,16.3794,0,1.0,0.382354,0.051461,0.140273,0.9048,0.3458,0.2485,0.0,0.4,0.0,0.138305,0.626922,0.40513,False
0,41,-19.4775,16.4271,0,1.0,0.361697,0.035641,0.11354,0.9188,0.3197,0.2316,0.04,0.4,0.0,0.164642,0.765448,0.453684,False
0,42,-19.4775,16.4747,0,1.0,0.343062,0.02506,0.092721,0.9284,0.3002,0.2189,0.04,0.4,0.0,0.157208,0.816492,0.506388,False
0,43,-19.4775,16.5224,0,1.0,0.326164,0.017308,0.075136,0.9358,0.2842,0.2086,0.08,0.0,0.1,0.095721,0.720283,0.566765,False
0,44,-19.4775,16.57,0,1.0,0.310773,0.011628,0.060114,0.9415,0.2712,0.2001,0.08,0.0,0.1,0.095333,0.795231,0.635861,False
0,45,-19.4775,16.6176,0,1.0,0.296694,0.010046,0.054595,0.9428,0.2682,0.1982,0.08,0.0,0.1,0.09524,0.825265,0.66824,False
